Code,Name,Description
1,Rural residents,"The population of this supergroup live in rural areas that are far less densely populated compared with elsewhere in the country. They will tend to live in large detached properties which they own and work in the agriculture, forestry and fishing industries. The level of unemployment in these areas is below the national average. Each household is likely to have multiple motor vehicles, and these will be the preferred method of transport to their places of work. The population tends to be older, married and well educated. An above average proportion of the population in these areas provide unpaid care and an above average number of people live in communal establishments (most likely to be retirement homes). There is less ethnic integration in these areas and households tend to speak English or Welsh as their main language."
1a,Farming communities,"This group has a lower population density than the supergroup, and people are less likely to live in communal establishments. There is a higher proportion of households living in detached properties when compared with the supergroup and much lower proportions living in terraced properties and flats. Households are less likely to live in social rented accommodation. There is a higher proportion of people working in the agriculture industry compared with the supergroup."
1a1,Rural workers and families,"The population of this subgroup has a slightly higher proportion of people aged 0 to 4 when compared with the group. Households are slightly more likely to live in detached properties, and less likely to live in other types of property. They are also slightly more likely to live in overcrowded conditions than the group and for household members to be unemployed."
1a2,Established farming communities,"Compared with the parent supergroup, households in this subgroup are more likely to live in a terraced or end-terraced house. People are slightly more likely to use public transport to get to work. Those in employment are more likely to work in financial related industries."
1a3,Agricultural communities,"This subgroup has a lower population density than the group. Com     pared with the group, a higher proportion of households live in      terraced properties or flats, and privately rent their home. The      proportion of people working in agricultural industries is high     er than the parent group.  "
1a4,Older farming communities,"The age make up of this subgroup is lower than the group for younger ages, but higher for ages 65 and over, and residents tend to live in more densely populated areas. Households are more likely to live in flats, though less likely to live in privately or socially rented accommodation. The proportion of people working in agricultural industries is lower than for the parent group."
1b,Rural tenants,"The age structure is very similar to the supergroup, though people are less likely to live in communal establishments. Compared with the parent supergroup, there is a higher proportion of households living in semi-detached, terraced properties and flats, with a higher proportion socially renting. People are less likely to work in the agriculture industry than for the parent supergroup."
1b1,Rural life,This subgroup is slightly more densely populated than the parent group. Households are less likely to live in flats. There are slightly more people working in the manufacturing and energy industries.
1b2,Rural white-collar workers,"This subgroup is slightly less densely populated than the parent group. When compared with the parent group, a higher proportion of people work in the information and communication, and financial related industries, whilst unemployment is lower."
1b3,Ageing rural flat tenants,"When compared with the parent group there is a higher proportion of people who are aged 65 and over, and they live in slightly denser populated areas. A higher proportion of households live in flats and socially rent, whilst a lower proportion of people work in the information and communication, and financial industries."
1c,Ageing rural dwellers,"The age structure of this group shows has a lower proportion of people aged under 65, and higher proportions aged 65 and over, particularly for the 90 and over age group. People are more likely to live in communal establishments or in detached properties."
1c1,Rural employment and retirees,"This subgroup has a lower proportion of people aged 90 or over compared with the parent group. It has a slightly higher proportion of people who were born in the EU and whose main language is not English or Welsh. The proportion of people working in agricultural industries is higher than the parent group, and a higher proportion of households live in private rented accommodation."
1c2,Renting rural retirement,"This subgroup has a higher proportion of people aged 90 and over compared with the parent group. There is a higher proportion of households who live in terraced properties, and households are more likely to rent socially. The proportion of people working in agricultural industries is lower than the parent group."
1c3,Detached rural retirement,"This subgroup has a higher proportion of people aged 90 and over compared with the main group, a slightly higher proportion of households who live in detached properties, and a lower proportion  who rent socially."
2,Cosmopolitans,"The majority of the population in this supergroup live in densely populated urban areas. They are more likely to live in flats and communal establishments, and private renting is more prevalent than nationally. The group has a high ethnic integration, with an above average number of residents from EU accession countries coinciding with a below average proportion of persons stating their country of birth as the UK or Ireland. A result of this is that households are less likely to speak English or Welsh as their main language. The population of the group is characterised by young adults, with a higher proportion of single adults and households without children than nationally. There are also higher proportions of full-time students. Workers are more likely to be employed in the accommodation, information and communication, and financial related industries, and using public transport, or walking or cycling to get to work."
2a,Students around campus,Compared with the parent supergroup a higher proportion of people live in communal establishments. A lower proportion of people are married or divorced and a higher proportion are schoolchildren and full-time students. Households are more likely to live in terraced properties and to live in social rented accommodation compared with the national average. There is also a higher prevalence of workers in the accommodation or food service activities industries.
2a1,Student communal living,This subgroup has a high proportion of people (largely students) living in communal establishments compared with the group. It also has a higher proportion of people who are of Chinese ethnicity. The proportion of people who are schoolchildren or full-time students is higher than the group.
2a2,Student digs,"When compared with the parent group, this subgroup has a much lower proportion of people living in communal establishments. There are lower proportions of people who are married or separated. The proportion of households with full-time students is higher than the parent group, and households are more likely to be living in terraced houses and rented accommodation."
2a3,Students and professionals,"The population in this subgroup contains higher proportions of children aged 0 to 14, and adults aged 25 and over than the parent group. The subgroup has a lower proportion of people living in communal establishments than the parent group, with higher proportions of people who are married or separated."
2b,Inner city students,"The age profile of this group shows a high proportion of schoolchildren, full-time students, and people aged 25 to 44, though a lower proportion married or divorced. Households are more likely to live in flats, to live in private rented accommodation, and to have overcrowded conditions. A lower proportion of people provide unpaid care, and a higher proportion work in accommodation or food service activities industries."
2b1,Students and commuters,"The proportion of people who are white is slightly higher than for the parent group, however the representation of all other ethnic groups is lower. The proportion of people with level 1 or 2, or apprenticeship qualifications is higher when compared with the parent group. People are more likely to use private transport to travel to work."
2b2,Multicultural student neighbourhoods,The population in this subgroup has a lower proportion of people aged 45 to 89 when compared with the parent group. Its ethnic makeup has a higher proportion of persons of mixed ethnicity.
2c,Comfortable cosmopolitan,"The age profile of this group shows a higher proportion of people age 45 and over than the parent supergroup. A higher proportion of people are divorced. There is a lower representation for all non- White ethnic groups when compared with the supergroup and a lower proportion of people born in the old EU. There is a lower proportion of households with full-time students and a higher proportion who live in flats. A higher proportion of workers are employed in the mining and manufacturing industries, and travel to work using private transport."
2c1,Migrant families,"This subgroup has a higher proportion of people aged 0 to 14 when compared with the parent subgroup, with a higher proportion of residents of mixed ethnicity. Households are more likely to live in a detached, semi-detached or terraced property than the parent group. A higher proportion of workers are employed in manufacturing industries."
2c2,Migrant commuters,"The population in this subgroup has a higher proportion of people who are of Pakistani ethnicity when compared with the parent group, and households are more likely to live in socially rented accommodation. A lower proportion of households had two or more cars."
2c3,Professional service cosmopolitans,"This subgroup had a lower proportion of people whose country of birth is in the new EU, and a lower proportion whose main language is not English or Welsh. When compared with the parent group they are more likely to own their home, and less likely to live in overcrowded conditions. When compared with the other subgroups for the parent group, this subgroup has the lowest proportion of people who are unemployed."
2d,Aspiring and affluent,"The proportion of people age 0 to 14 is higher than for the parent supergroup. A higher proportion of people are married. There is a higher proportion of people who are of mixed ethnicity. A lower proportion of households have full-time students. Compared with the supergroup a higher proportion of households live in semi-detached or terraced properties. People are more likely to work in the information and communication, and financial related industries, and use public transport to get to work."
2d1,Urban cultural mix,When compared with the group a higher proportion of people are of Indian ethnicity. A lower proportion of people were born in the old EU whereas a higher proportion were born in the new EU. They are more likely to live in a detached or semi-detached property.
2d2,Highly-qualified quaternary workers,"The label ‘quaternary’ refers loosely to ‘intellectual’ activities. In comparison with the parent group there is a higher proportion of people aged 5 to 14, and a lower proportion of persons of Indian ethnicity. Households are more likely to live in terraced or end-terraced properties."
2d3,EU white-collar workers,"A key characteristic for this subgroup is the higher proportion of persons born in other EU countries, and most noticeably in other old EU countries, relative to the overall UK figure, and the parent group. When compared with the parent group, a higher proportion of the people in this subgroup are Arab or of ‘other’ ethnic group. Households are more likely to live in flats and to be living in overcrowded conditions. Households are less likely to have two or more cars and also less likely to use private transport to travel to work."
3,Ethnicity central,"The population of this group is predominately located in the denser central areas of London, with other inner urban areas across the UK having smaller concentrations. All non-white ethnic groups have a higher representation than the UK average especially people of mixed ethnicity or who are Black, with an above average number of residents born in other EU countries. Residents are more likely to be young adults with slightly higher rates of divorce or separation than the national average, with a lower proportion of households having no children or non-dependent children. Residents are more likely to live in flats and more likely to rent. A higher proportion of people use public transport to get to work, with lower car ownership, and higher unemployment. Those in employment are more likely to work in the accommodation, information and communication, financial, and administrative related industries."
3a,Ethnic family life,"When compared with the parent supergroup, this group has a higher level of all non-White ethnic groups. There is a lower proportion of people born in the old EU but a higher proportion were born in the new EU. There is a higher proportion of people whose main language is not English or Welsh. Households are more likely to live in detached, semi-detached or terraced properties."
3a1,Established renting families,"This subgroup has a lower proportion of people who have Indian or Pakistani ethnicity when compared with the group. The population is less likely to have been born in the new EU, and more likely to have dependent children. Households are more likely to be in socially rented accommodation."
3a2,Young families and students,"In comparison with the parent group this subgroup has a higher proportion of people who are of Indian or Pakistani ethnicity. Country of birth for residents is more likely to have been in one of the new EU countries, and residents are more likely to have higher level qualifications. Households are more likely to be privately renting than the parent group and less likely to be social renting."
3b,Endeavouring Ethnic Mix,"This group has a higher proportion of people who belong to the Bangladeshi ethnic group than the parent supergroup but a lower proportion of those in Pakistani and Indian ethnic groups. There is a higher proportion of people who were born in the old EU countries. Households are more likely to live in flats and to socially rent than for the supergroup. Overcrowding is also more prevalent, and public transport more commonly used to get to work."
3b1,Striving service workers,The population of this subgroup has a lower proportion of people who have Bangladeshi ethnicity than the group but a higher proportion who have Black ethnicity. A lower proportion of households are likely to live in privately rented accommodation. Most of the other characteristics are similar to the parent group.
3b2,Bangladeshi mixed employment,A lower proportion of people in this subgroup are of mixed or Black ethnic origin when compared with the group but a far higher proportion of people have Bangladeshi ethnicity. A higher proportion of people whose main language is not English or Welsh are present in the subgroup.
3b3,Multi-ethnic professional service workers,3b3 – Multi-ethnic professional service workers When compared with the group there is a higher proportion of people who are of Indian ethnicity but a lower proportion of Bangladeshi ethnicity. There is a higher proportion of people born in other EU countries with households more likely to live in privately rented accommodation in comparison with the parent group.
4,Multicultural metropolitans,"The population of this supergroup is concentrated in larger urban conurbations in the transitional areas between urban centres and suburbia. They are likely to live in terraced housing that is rented – both private and social. The group has a high ethnic mix, but a below average number of UK and Irish born residents. A result of this is that households are less likely to speak English or Welsh as their main language. Residents are likely to be below retirement age. There is likely to be an above average number of families with children who attend school or college, or who are currently too young to do so. The rates of marriage and divorce are broadly comparable with the national average. The level of qualifications is just under the national average with the rates of unemployment being above the national average. Residents who are employed are more likely to work in the transport and administrative related industries. Public transport is the most likely method for individuals to get to and from work, since households are less likely to have multiple motor vehicles available to them."
4a,Rented family living,"This group has a higher representation of White and mixed ethnicity residents than the supergroup and a lower proportion of people whose main language is not English or Welsh. Households are more likely to live in terraced properties or flats, and to socially rent their property."
4a1,Social renting young families,"This subgroup, when compared with the parent group, has a higher proportion of children aged 5 to 14, a higher proportion of people who have Pakistani ethnicity, and a higher proportion who were born in the UK or Ireland. Households are more likely to live in semi-detached properties, and to live in social rented accommodation. Unemployment is more prevalent when compared with the parent group."
4a2,Private-renting new arrivals,"When compared with the group, this population of this subgroup has a lower proportion of people who have Black or of mixed ethnicity. Residents are more likely to have been born in other EU countries. Households are more likely to be living in private rented accommodation."
4a3,Commuters with young families,"The population of this subgroup has a lower proportion of people who are of Pakistani ethnicity, but a higher proportion of Black ethnicity when compared with the group. Households are more likely to live in flats and to live in overcrowded conditions. People are more likely to work in the information and communication, and financial related industries."
4b,Challenged Asian terraces,"The population of this group has a higher proportion of non-White ethnic groups than the parent supergroup especially people of the Pakistani ethnic group, and a higher proportion of 0 to 14 year- olds. It is more likely that their main language is not English or Welsh. A higher proportion of households live in terraced properties, and overcrowding is more prevalent. When compared with the supergroup more people are likely to be unemployed, and those in employment to be working in the accommodation and food service industries."
4b1,Asian terraces and flats,"The population of this subgroup has a higher representation of people from Indian, Black and Chinese ethnic groups, and a higher proportion of residents born in the new EU countries. Households are more likely to live in flats."
4b2,Pakistani communities,"A key distinguishing feature of this subgroup is the high proportion of people with Pakistani ethnicity, though residents are also more likely to have been born in the UK or Ireland, though less likely to speak English or Welsh as their main language. There is a slightly higher proportion of households who live in terraced housing, and also a higher proportion owning their property."
4c,Asian traits,"The population of this group has a higher proportion of people who are of Chinese ethnicity and particularly of Indian ethnicity. Compared with the parent supergroup, households are more likely to live in detached and semi-detached properties, and to own their own home. A higher proportion of households have two or more cars, unemployment is lower, and workers are more likely to work in the Information and communication, and financial related industries."
4c1,Achieving minorities,"The population of this subgroup has a higher proportion of people who have Pakistani ethnicity, and lower proportions with Chinese and Black ethnicity than the parent group. A lower proportion of residents were born in other EU countries. Households are more likely to live in detached and semi-detached properties, and to own their own property. Households are also less likely to live in overcrowded conditions."
4c2,Multicultural new arrivals,The population of this subgroup has a higher representation of all non-White ethnic groups than the parent group. A higher proportion of residents were born in new EU countries and a higher proportion without English or Welsh as their main language. Households are more likely to live in terraced properties or flats and to live in overcrowded conditions.
4c3,Inner-city ethnic mix,"Compared with the parent group, there is a higher representation of persons of mixed ethnicity, but lower representation for the other non-White ethnic groups, and a lower proportion of people whose main language is not English or Welsh. When compared with the parent group, there is a lower proportion of households with non-dependent children, and households are more likely to live in flats."
5,Urbanites,"The population of this group are most likely to be located in urban areas in southern England and in less dense concentrations in large urban areas elsewhere in the UK. They are more likely to live in either flats or terraces, and to privately rent their home. The supergroup has an average ethnic mix, with an above average number of residents from other EU countries. A result of this is households are less likely to speak English or Welsh as their main language. Those in employment are more likely to be working in the information and communication, financial, public administration and education related sectors. Compared with the UK, unemployment is lower."
5a,Urban professionals and families,The population of this group shows a noticeably higher proportion of children aged 0 to 14 than the parent supergroup and a lower proportion aged 90 and over. There is also a higher proportion of people with mixed ethnicity. Households in this group are more likely to live in terraced properties and to live in privately rented accommodation. Unemployment is slightly higher than for the parent supergroup.
5a1,White professionals,"The population of this subgroup has a lower representation of all ethnic groups, other than White when compared with the parent group. Residents are less likely to have been born in other EU countries and more likely to have English or Welsh as their main language. Households are more likely to live in detached or semi-detached properties."
5a2,Multi-ethnic professionals with families,"The population of this subgroup has a higher representation of all non-White ethnic groups than the parent group, and in particular representation of persons with Indian or mixed ethnicity. Households are more likely to live in detached or semi-detached properties, and to live in socially rented accommodation. There is a higher proportion of people working in the information and communication, and financial related industries."
5a3,Families in terraces and flats,"When compared with the parent group, this subgroup has a higher proportion of households living in terraced properties or flats, with households more likely to rent their accommodation, either privately or socially. Households are more likely to live in overcrowded conditions than the parent group and less likely to have two or more cars."
5b,Ageing urban living,"The population of this group shows a higher proportion of people aged 65 and over than the parent supergroup. Residents are more likely to live in communal establishments, detached properties and flats than the supergroup, with a higher proportion of households living in socially rented accommodation."
5b1,Delayed retirement,"The population of this group shows a lower proportion of people aged 90 and over than the parent group, and households are more likely to live in flats, though are less likely to socially rent. There is a higher proportion of people who use public transport to get to work and they are more likely to work in the information and communication, and financial related industries."
5b2,Communal retirement,A distinguishing feature of this subgroup is the high proportion of people living in communal establishments. The population of this subgroup shows a higher proportion of people aged 90 and over than the parent group. There is also a higher proportion of households living in terraced properties than the parent group.
5b3,Self-sufficient retirement,A lower proportion of people live in communal establishments than the parent group. Compared with the group a higher proportion of households live in terraced properties and households are more likely to live in socially rented accommodation.
6,Suburbanites,"The population of this supergroup is most likely to be located on the outskirts of urban areas. They are more likely to own their own home and to live in semi-detached or detached properties. The population tends to be a mixture of those above retirement age and middle-aged parents with school age children. The number of residents who are married or in civil-partnerships is above the national average. Individuals are likely to have higher-level qualifications than the national average, with the levels of unemployment in these areas being below the national average. All non-White ethnic groups have a lower representation when compared with the UK and the proportion of people born in the UK or Ireland is slightly higher. People are more likely to work in the information and communication, financial, public administration, and education sectors, and use private transport to get to work."
6a,Suburban achievers,"When compared with the parent supergroup a higher proportion of households live in detached properties and flats, and are less likely to rent their accommodation or live in overcrowded conditions. People of Indian ethnicity are over-represented when compared with the supergroup. Higher proportions of people have higher qualifications, and are more likely to work in the information and communication, and financial related industries."
6a1,Indian tech achievers,"All non-White ethnic groups are well represented in this subgroup in comparison to the parent group, people of Indian ethnicity being particularly well represented. There is a higher proportion of people born in other EU countries, and whose main language is not English or Welsh. Households are more likely to live in semi-detached properties. Compared with the parent group there is a higher proportion of people working in the information and communication, and financial related industries, and workers using public transport."
6a2,Comfortable suburbia,"The population of this group has a higher proportion of people aged 0 to 44 but a lower proportion aged 65 and over than the parent group. Households are less likely to live in semi-detached properties or flats, but more likely to live in detached or terraced properties."
6a3,Detached retirement living,This subgroup has a higher proportion of people aged 65 to 89 than the parent group. There is a lower representation of all non-White ethnic groups in the subgroup. Households are more likely to live in semi-detached properties.
